Product Type: Litetrack LR
Product ID: 80385
Firmware Version: V8.99.0

GMT Time,X,Y,Z,Temperature [C]
2020-09-16 9:39:38 AM,-3,1,-23,10.5
2020-09-16 9:39:40 AM,-1,4,-24,10.5
2020-09-16 9:39:42 AM,-4,3,-19,10.5
2020-09-16 9:39:44 AM,-4,1,-22,10.5
2020-09-16 9:39:46 AM,-6,4,-23,10.5
2020-09-16 9:39:48 AM,-1,1,-23,10.5
2020-09-16 9:39:50 AM,-3,1,-23,10.5
2020-09-16 9:39:52 AM,-5,1,-24,10.5
2020-09-16 9:39:54 AM,-4,5,-24,10.5
2020-09-16 9:39:56 AM,-6,3,-23,10.5
