GMT,X,Y,Z,Temperature
2023-11-25 11:38,-2,0,-21,10.5
2023-11-25 11:38,-3,4,-23,10.5
2023-11-25 11:38,-2,3,-22,10.5
2023-11-25 11:38,-6,6,-21,10.5
2023-11-25 11:38,-4,3,-21,10.5
2023-11-25 11:38,-5,5,-21,10.5
2023-11-25 11:38,-3,5,-24,10.5
2023-11-25 11:38,-4,6,-22,10.5
2023-11-25 11:38,-8,4,-22,10.5
2023-11-25 11:38,-4,4,-22,10.5
2023-11-25 11:38,-1,1,-22,10.5
2023-11-25 11:38,-1,3,-23,10.5
2023-11-25 11:38,-2,3,-24,10.5
2023-11-25 11:38,-3,2,-23,10.5
2023-11-25 11:38,-4,3,-24,10.5
2023-11-25 11:38,-2,4,-24,10.5
2023-11-25 11:38,-5,4,-22,10.5
2023-11-25 11:38,-2,3,-23,10.5
2023-11-25 11:38,0,2,-23,10.5
2023-11-25 11:38,-1,2,-23,10.5
2023-11-25 11:38,-6,4,-22,10.5
2023-11-25 11:38,-3,4,-21,10.5
2023-11-25 11:38,-6,3,-21,10.5
2023-11-25 11:38,-1,3,-22,10.5
2023-11-25 11:39,-2,4,-23,10.5
2023-11-25 11:39,-4,4,-22,10.5
2023-11-25 11:39,-5,4,-23,10.5
2023-11-25 11:39,-4,3,-22,10.5
2023-11-25 11:39,-4,-2,-24,10.5
2023-11-25 11:39,-4,4,-23,10.5
2023-11-25 11:39,-3,5,-23,10.5
2023-11-25 11:39,-5,4,-22,10.5
2023-11-25 11:39,-6,4,-23,10.5
2023-11-25 11:39,-5,4,-22,10.5
2023-11-25 11:39,-6,5,-22,10.5
2023-11-25 11:39,-3,3,-23,10.5
2023-11-25 11:39,-6,4,-24,10.5
2023-11-25 11:39,-5,6,-21,10.5
2023-11-25 11:39,-5,4,-23,10.5
2023-11-25 11:39,0,2,-24,10.5
2023-11-25 11:39,-1,3,-23,10.5
2023-11-25 11:39,-2,3,-23,10.5
2023-11-25 11:39,-3,3,-22,10.5
2023-11-25 11:39,-4,5,-23,10.5
2023-11-25 11:39,-5,3,-23,10.5
2023-11-25 11:39,-2,2,-23,10.5
2023-11-25 11:39,-5,5,-22,10.5
2023-11-25 11:39,-3,4,-17,10.5
2023-11-25 11:39,0,0,-23,10.5
2023-11-25 11:39,-2,4,-23,10.5
2023-11-25 11:39,-3,4,-22,10.5
2023-11-25 11:39,-2,6,-22,10.5
2023-11-25 11:39,-4,4,-22,10.5
2023-11-25 11:39,-4,3,-23,10.5
