Start,Stop,Proximity ID,Session,RSSI
2020-06-19 5:25,2020-06-19 5:26,30390,3,45
2020-06-19 5:24,2020-06-19 5:28,30388,200,-68
2020-06-19 5:26,2020-06-19 5:27,30389,36,0
2020-06-19 5:27,2020-06-19 5:27,30390,27,-45
2020-06-19 5:29,2020-06-19 5:29,30388,0,-83
2020-06-19 5:36,2020-06-19 5:36,30388,0,-83
2020-06-19 5:32,2020-06-19 5:39,30389,406,-74
2020-06-19 5:42,2020-06-19 5:42,30388,0,-83
2020-06-19 5:44,2020-06-19 5:44,30388,0,-84
2020-06-19 5:45,2020-06-19 5:45,30390,0,-84
2020-06-19 5:49,2020-06-19 5:49,30388,3,50
2020-06-19 5:55,2020-06-19 5:59,30389,278,-75
2020-06-19 6:05,2020-06-19 6:05,30389,0,-84
2020-06-19 7:12,2020-06-19 7:12,30388,0,-82
2020-06-19 7:21,2020-06-19 7:23,30384,119,-68
2020-06-19 7:24,2020-06-19 7:24,30389,4,44
2020-06-19 7:28,2020-06-19 7:32,30389,216,-62
2020-06-19 7:33,2020-06-19 7:34,30389,21,41
2020-06-19 7:41,2020-06-19 7:42,30389,67,-53
2020-06-19 7:52,2020-06-19 7:53,30389,51,44
2020-06-19 8:01,2020-06-19 8:01,30389,0,-83
2020-06-19 8:13,2020-06-19 8:13,30389,24,2
2020-06-19 8:14,2020-06-19 8:14,30389,3,41
2020-06-19 8:22,2020-06-19 8:22,30389,3,45
2020-06-19 8:24,2020-06-19 8:24,30389,54,-50
2020-06-19 8:25,2020-06-19 8:25,30384,9,44
2020-06-19 8:27,2020-06-19 8:28,30388,97,-70
2020-06-19 9:06,2020-06-19 9:07,30390,8,43
2020-06-19 9:08,2020-06-19 9:09,30390,67,0
2020-06-19 9:11,2020-06-19 9:11,30390,30,42
2020-06-19 9:19,2020-06-19 9:19,30390,6,43
2020-06-19 9:33,2020-06-19 9:33,30390,0,-87
2020-06-19 9:40,2020-06-19 9:40,30390,0,-89
2020-06-19 9:43,2020-06-19 9:43,30390,0,-87
2020-06-19 9:43,2020-06-19 9:53,30388,614,-78
2020-06-19 11:17,2020-06-19 11:17,30389,0,-83
2020-06-19 11:18,2020-06-19 11:18,30389,0,-83
